Date,Open,High,Low,Close,Volume,Market_cap
2017-10-10,0.023979,0.229025,0.023979,0.160097,6099,-
2017-10-09,0.023273,0.036742,0.022111,0.023980,7446,-
2017-10-08,0.036648,0.038333,0.023224,0.023267,172,-
2017-10-07,0.020310,0.036833,0.020254,0.036747,171,-
2017-10-06,0.019154,0.030855,0.019115,0.020303,1217,-
2017-10-05,0.024470,0.031891,0.018895,0.019154,3335,-
2017-10-04,0.021599,0.024693,0.017218,0.024447,1176,-
2017-10-03,0.021493,0.022021,0.017203,0.021549,120,-
2017-10-02,0.024362,0.026794,0.024276,0.026501,0,-
2017-10-01,0.021566,0.025521,0.015792,0.024372,82,-
2017-09-30,0.015057,0.032990,0.014013,0.021555,1297,-
2017-09-29,0.021137,0.021137,0.000980,0.015055,13,-
2017-09-28,0.015231,0.022195,0.015062,0.021154,150,-
2017-09-27,0.014077,0.015293,0.010923,0.015231,9,-
2017-09-26,0.013657,0.014482,0.010552,0.014116,169,-
2017-09-25,0.011054,0.013872,0.011050,0.013658,68,-
2017-09-24,0.011403,0.014807,0.010953,0.011065,32,-
2017-09-23,0.012698,0.013092,0.011170,0.011404,22,-
2017-09-22,0.013511,0.014033,0.012462,0.012734,12,-
2017-09-21,0.016759,0.017620,0.012991,0.013526,185,-
2017-09-20,0.019540,0.019642,0.016007,0.016842,2,-
2017-09-19,0.016446,0.020597,0.012601,0.019566,5871,-
2017-09-18,0.013487,0.027404,0.007889,0.016406,1724,-
2017-09-17,0.011143,0.015457,0.009522,0.013514,227,-
2017-09-16,0.008805,0.018132,0.008772,0.011151,53,-
2017-09-15,0.009117,0.020043,0.006998,0.008724,365,-
2017-09-14,0.010895,0.013015,0.009047,0.009047,25,-
2017-09-13,0.018799,0.018799,0.010817,0.010895,30,-
2017-09-12,0.020374,0.020845,0.011364,0.018793,42,-
2017-09-11,0.024991,0.025058,0.016959,0.020381,0,-
2017-09-10,0.021712,0.025920,0.020239,0.024912,19,-
2017-09-09,0.023978,0.027662,0.021025,0.021689,11,-
2017-09-08,0.025481,0.029355,0.023003,0.023936,15,-
2017-09-07,0.028728,0.031571,0.022664,0.025488,6,-
2017-09-06,0.025329,0.036130,0.023006,0.028717,57,-
2017-09-05,0.025337,0.040468,0.018691,0.025522,317,-
2017-09-04,0.024664,0.042671,0.020463,0.025428,1234,-
2017-09-03,0.018413,0.025922,0.016339,0.024656,26,-
2017-09-02,0.017825,0.024758,0.017454,0.018401,17,-
2017-09-01,0.018825,0.024102,0.016372,0.017802,94,-
2017-08-31,0.024640,0.029576,0.018783,0.018832,38,-
2017-08-30,0.034163,0.034222,0.015987,0.024683,68,-
2017-08-29,0.028474,0.035880,0.016886,0.034183,190,-
2017-08-28,0.061486,0.061520,0.021305,0.028479,12,-
2017-08-27,0.034515,0.232306,0.034282,0.061490,2,-
2017-08-26,0.011920,0.034591,0.011792,0.034524,616,-
2017-08-25,0.022963,0.023004,0.011736,0.011897,31,-
2017-08-24,0.024378,0.024816,0.018921,0.022279,3,-
2017-08-23,0.005298,0.033048,0.004965,0.024367,10,-
2017-08-22,0.020995,0.032901,0.005223,0.005309,46,-
2017-08-21,0.020937,0.032895,0.020858,0.020947,11,-
2017-08-20,0.026747,0.031269,0.021066,0.021066,3,-
2017-08-19,0.024857,0.026924,0.023995,0.026873,5,-
2017-08-18,0.049321,0.049597,0.024049,0.024878,74,-
2017-08-17,0.036833,0.053500,0.034113,0.049472,54,-
2017-08-16,0.012519,0.062228,0.010866,0.036867,1330,-
2017-08-15,0.030679,0.031388,0.010582,0.012506,207,-
2017-08-14,0.026702,0.030771,0.013602,0.030596,55,-
2017-08-13,0.040547,0.041286,0.018686,0.026685,199,-
2017-08-12,0.020646,0.040656,0.020191,0.040585,14,-
2017-08-11,0.038762,0.039010,0.020406,0.020662,281,-
2017-08-10,0.021750,0.039047,0.021668,0.038765,359,-
2017-08-09,0.036606,0.036663,0.018809,0.021748,757,-
2017-08-08,0.027179,0.038102,0.020746,0.036631,40,-
2017-08-07,0.038547,0.048079,0.027015,0.027152,114,-
2017-08-06,0.070457,0.071138,0.037627,0.038633,533,-
2017-08-05,0.031429,0.082445,0.031422,0.070440,3655,-
2017-08-04,0.039028,0.040101,0.027728,0.031443,2024,-
2017-08-03,0.027280,0.041743,0.027035,0.039022,29,-
2017-08-02,0.026427,0.054526,0.026146,0.027241,144,-
2017-08-01,0.036830,0.057208,0.024868,0.026474,235,-
2017-07-31,0.070999,0.074063,0.048372,0.053811,1238,-
2017-07-30,0.049986,0.071675,0.026198,0.069866,5593,-
2017-07-29,0.023732,0.040612,0.023642,0.040572,1673,-
2017-07-28,0.037142,0.039809,0.020230,0.023633,1426,-
2017-07-27,0.020636,0.037187,0.015956,0.037187,1854,-
