Date,Open,High,Low,Close,Volume,Market_cap
2017-10-10,5.98,8.04,5.98,7.88,3715860,115492000
2017-10-09,6.22,6.82,5.49,5.89,3314680,119981000
2017-10-08,7.18,7.58,6.01,6.17,2656110,138622000
2017-10-07,7.65,7.88,7.14,7.22,1891750,147648000
2017-10-06,8.36,8.47,7.57,7.66,1490480,161291000
2017-10-05,8.43,8.47,7.80,8.36,1141480,162768000
2017-10-04,8.21,8.66,7.83,8.60,1795230,158554000
2017-10-03,8.88,9.38,7.91,8.20,1687090,171394000
2017-10-02,9.19,9.72,8.85,8.88,1376290,177372000
2017-10-01,9.37,9.97,9.00,9.07,2044240,180871000
2017-09-30,8.51,9.71,8.47,9.38,1581360,164307000
2017-09-29,9.12,9.28,8.22,8.51,1737870,175929000
2017-09-28,9.45,9.64,8.91,9.13,992060,182470000
2017-09-27,8.97,10.33,8.82,9.48,1153240,173135000
2017-09-26,8.93,13.91,8.61,8.99,988198,172348000
2017-09-25,7.73,9.00,7.73,8.93,1069680,149285000
2017-09-24,8.22,8.30,7.75,7.75,581347,158698000
2017-09-23,8.10,8.52,7.61,8.26,523498,156397000
2017-09-22,7.75,8.28,7.31,8.13,1034690,149562000
2017-09-21,8.37,9.35,7.55,7.76,2194620,161554000
2017-09-20,8.49,8.91,8.31,8.35,1260170,163816000
2017-09-19,9.56,9.56,8.17,8.51,2168430,184521000
2017-09-18,9.11,10.21,9.11,9.53,2008760,175767000
2017-09-17,9.35,9.52,8.48,9.20,1106120,180469000
2017-09-16,9.92,10.32,8.85,9.41,1107890,191438000
2017-09-15,7.53,10.45,6.78,9.80,3214850,145373000
2017-09-14,10.05,10.59,7.40,7.41,3149780,193996000
2017-09-13,10.68,10.68,8.42,10.05,4002980,206133000
2017-09-12,10.83,12.00,10.30,10.60,2627510,209118000
2017-09-11,11.46,11.97,10.58,10.84,2243030,221260000
2017-09-10,12.23,12.36,10.18,11.44,2751050,236050000
2017-09-09,12.30,12.90,11.42,12.28,2628730,237495000
2017-09-08,13.53,14.23,11.28,12.28,7425800,261166000
2017-09-07,12.04,14.82,11.26,13.53,12706700,232422000
2017-09-06,11.36,12.60,11.09,12.07,3288170,219290000
2017-09-05,9.86,11.56,8.75,11.35,2746360,190224000
2017-09-04,11.05,11.73,8.85,9.89,5212850,213205000
2017-09-03,10.77,11.81,10.47,11.04,2574300,207931000
2017-09-02,13.25,13.67,10.33,10.76,7753150,255678000
2017-09-01,9.57,13.21,9.45,13.21,11796600,184762000
2017-08-31,9.44,10.01,9.21,9.58,1511690,182222000
2017-08-30,9.47,9.61,8.83,9.41,1099310,182778000
2017-08-29,9.47,10.01,8.77,9.35,2137900,182712000
2017-08-28,9.94,10.17,9.14,9.47,1806910,191810000
2017-08-27,10.16,10.46,9.69,9.91,1262120,196114000
2017-08-26,9.63,10.19,9.08,10.16,1025560,185811000
2017-08-25,10.07,10.23,9.36,9.68,961836,194377000
2017-08-24,9.01,10.06,8.35,10.01,1562100,173997000
2017-08-23,9.77,9.96,8.69,9.01,1220680,188610000
2017-08-22,9.20,10.13,8.07,9.85,1520480,177582000
2017-08-21,9.24,10.19,8.30,9.18,2593030,178276000
2017-08-20,10.00,10.81,9.27,9.36,2761560,193000000
2017-08-19,10.62,12.30,9.61,10.05,8207440,204918000
2017-08-18,10.03,11.10,9.07,10.41,4491210,193617000
2017-08-17,9.48,11.46,9.01,10.00,8980110,182980000
2017-08-16,7.18,9.57,6.79,9.57,1803970,138561000
2017-08-15,7.92,8.05,6.61,7.13,1793580,152943000
2017-08-14,9.35,9.39,6.87,8.12,2895710,180512000
2017-08-13,9.14,9.52,7.95,9.34,3063580,176352000
2017-08-12,7.52,10.28,6.95,9.10,6038650,145059000
2017-08-11,5.71,8.21,5.49,7.52,8651990,110165000
2017-08-10,4.64,5.73,4.54,5.70,1699690,89652700
2017-08-09,4.94,5.02,4.50,4.53,494339,95420200
2017-08-08,5.09,5.18,4.72,4.94,626820,98197400
2017-08-07,4.58,5.28,4.40,5.08,1179490,88359400
2017-08-06,4.16,4.88,4.14,4.61,884380,80316300
2017-08-05,4.07,4.38,3.77,4.16,885587,78515700
2017-08-04,3.85,4.22,3.81,4.07,577748,74284300
2017-08-03,3.59,3.91,3.53,3.90,396523,69212200
2017-08-02,3.88,3.99,3.53,3.58,680319,74969500
2017-08-01,3.61,4.48,3.25,3.89,1069850,69606500
2017-07-31,3.59,3.77,3.33,3.53,688906,75797800
2017-07-30,3.88,3.96,3.55,3.64,1298790,81928000
2017-07-29,3.53,4.11,3.34,3.93,773633,74501100
2017-07-28,4.12,4.17,3.36,3.51,727796,86946400
2017-07-27,4.40,4.46,3.96,4.11,747201,92882400
2017-07-26,4.13,4.43,3.90,4.34,688758,87151500
2017-07-25,4.43,4.96,3.83,4.11,2000850,93426500
2017-07-24,4.16,4.54,4.01,4.45,1170890,87805600
2017-07-23,4.05,4.24,3.80,4.24,526299,85345900
2017-07-22,3.77,4.29,3.73,4.07,640571,79420100
2017-07-21,4.13,4.15,3.62,3.78,962166,87194700
2017-07-20,3.23,4.14,3.23,4.14,1406890,68143700
2017-07-19,3.33,3.81,3.10,3.24,1582240,70197800
2017-07-18,3.42,3.67,2.97,3.29,1624240,72094900
2017-07-17,2.12,3.56,2.11,3.45,1740580,44767000
2017-07-16,2.42,2.54,2.05,2.13,498244,50996900
2017-07-15,2.60,3.09,2.36,2.39,1652160,54742200
2017-07-14,3.25,3.47,2.36,2.59,13049400,68606200
2017-07-13,3.65,4.30,2.98,3.31,8436170,76986000
2017-07-12,3.29,4.85,2.97,3.70,43670400,69412900
2017-07-11,2.10,3.73,1.53,3.23,17349300,44278500
2017-07-10,1.70,3.19,1.46,2.04,6413810,35884600
2017-07-09,1.22,1.92,1.21,1.67,2843520,25688600
