Date,Open,High,Low,Close,Volume,Market_cap
2017-08-26,0.135136,0.140178,0.128617,0.130865,4703,-
2017-08-25,0.138390,0.145878,0.117179,0.134877,12668,-
2017-08-24,0.135972,0.144082,0.125441,0.138608,9976,-
2017-08-23,0.136924,0.146618,0.134086,0.135913,23360,-
2017-08-22,0.137592,0.143611,0.122460,0.137204,8205,-
2017-08-21,0.134729,0.148018,0.124448,0.137274,15180,-
2017-08-20,0.125147,0.159198,0.121878,0.135242,29252,-
2017-08-19,0.116313,0.140593,0.110840,0.125734,13402,-
2017-08-18,0.104941,0.119437,0.099126,0.116412,14339,-
2017-08-17,0.110028,0.125055,0.103592,0.105263,4065,-
2017-08-16,0.104383,0.120426,0.099748,0.110130,6901,-
2017-08-15,0.117393,0.118472,0.094749,0.104268,9004,-
2017-08-14,0.115726,0.120325,0.105006,0.117078,1454,-
2017-08-13,0.110308,0.128875,0.104055,0.115652,2468,-
2017-08-12,0.105093,0.130298,0.094401,0.110411,13468,-
2017-08-11,0.114406,0.121713,0.089563,0.105175,3551,-
2017-08-10,0.093604,0.121121,0.088874,0.114412,673,-
2017-08-09,0.126493,0.129130,0.087366,0.093595,2076,-
2017-08-08,0.113283,0.128759,0.084416,0.126579,2538,-
2017-08-07,0.127776,0.139651,0.093127,0.113169,1494,-
2017-08-06,0.142866,0.144456,0.079886,0.128062,1552,-
2017-08-05,0.136849,0.156944,0.126416,0.142832,7693,-
2017-08-04,0.132355,0.150314,0.125056,0.136909,10227,-
2017-08-03,0.127778,0.133027,0.121461,0.132388,1873,-
2017-08-02,0.129206,0.130292,0.118789,0.127593,873,-
2017-08-01,0.135158,0.135715,0.120534,0.129231,2946,-
2017-07-31,0.124970,0.152776,0.123086,0.135093,9856,-
2017-07-30,0.123792,0.128708,0.117782,0.124842,1029,-
2017-07-29,0.136566,0.137795,0.121614,0.123809,2332,-
2017-07-28,0.129113,0.148231,0.126942,0.137085,7845,-
2017-07-27,0.112354,0.157078,0.111681,0.128723,19277,-
2017-07-26,0.117747,0.124430,0.107320,0.112036,4471,-
2017-07-25,0.127342,0.128216,0.108540,0.117693,1241,-
2017-07-24,0.127487,0.129610,0.110252,0.127356,637,-
2017-07-23,0.140646,0.141971,0.115831,0.127636,1523,-
2017-07-22,0.130830,0.143851,0.120426,0.140645,4107,-
2017-07-21,0.169915,0.170478,0.109256,0.130856,5637,-
2017-07-20,0.103853,0.173986,0.098536,0.168664,15110,-
2017-07-19,0.115135,0.125188,0.096791,0.104166,3565,-
2017-07-18,0.115589,0.126666,0.102243,0.114952,4079,-
2017-07-17,0.109606,0.115669,0.097338,0.104228,2625,-
2017-07-16,0.115238,0.119753,0.099517,0.109728,2684,-
2017-07-15,0.110575,0.127405,0.096669,0.115586,12156,-
2017-07-14,0.112322,0.141127,0.101079,0.110765,5180,-
2017-07-13,0.178970,0.179345,0.124056,0.124235,9999,-
2017-07-12,0.139227,0.180344,0.134969,0.178837,2485,-
2017-07-11,0.163800,0.208929,0.134096,0.139434,4972,-
2017-07-10,0.157728,0.169427,0.136669,0.164150,3262,-
2017-07-09,0.158061,0.160330,0.141860,0.157422,1975,-
2017-07-08,0.136290,0.164600,0.114306,0.157919,2736,-
2017-07-07,0.139202,0.147028,0.114566,0.136175,972,-
2017-07-06,0.147901,0.148000,0.115336,0.139100,353,-
2017-07-05,0.146807,0.148738,0.110525,0.147827,520,-
2017-07-04,0.138216,0.148780,0.105595,0.146886,503,-
2017-07-03,0.125769,0.142347,0.120014,0.138531,206,-
2017-07-02,0.138066,0.139704,0.121855,0.126233,670,-
2017-07-01,0.125702,0.143349,0.124252,0.138083,826,-
2017-06-30,0.151927,0.152464,0.125254,0.125751,2063,-
2017-06-29,0.139292,0.158600,0.135355,0.151625,2696,-
2017-06-28,0.147804,0.156209,0.134938,0.139421,2946,-
2017-06-27,0.135932,0.151891,0.127247,0.146847,2739,-
2017-06-26,0.150894,0.152552,0.130166,0.132796,2880,-
2017-06-25,0.144487,0.162662,0.141672,0.151219,1242,-
