Date,Open,High,Low,Close,Volume,Market_cap
2017-10-23,0.489821,0.570282,0.448449,0.482272,3165,4818390
2017-10-22,0.577985,0.587484,0.459868,0.489057,2237,5685660
2017-10-21,0.500100,0.616085,0.485170,0.586034,2225,4919500
2017-10-20,0.559505,0.614872,0.444160,0.503745,8398,5503870
2017-10-19,0.764168,0.769297,0.468564,0.559562,6308,6233820
2017-10-18,0.499269,0.794335,0.440059,0.770652,9925,4072860
2017-10-17,0.559900,0.560916,0.389312,0.498933,6518,4567470
2017-10-16,0.487762,0.665344,0.447670,0.559846,7275,3978990
2017-10-15,0.569270,0.569270,0.415272,0.487754,8320,4643910
2017-10-14,0.413136,0.596970,0.402449,0.569207,47411,3370220
2017-10-13,0.381401,0.446379,0.349192,0.413124,4910,3111340
2017-10-12,0.400291,0.428474,0.342558,0.381167,728,3265440
2017-10-11,0.440528,0.470345,0.302326,0.400247,4024,3593680
2017-10-10,0.371654,0.440538,0.350289,0.440529,11408,3031820
2017-10-09,0.374944,0.472811,0.335711,0.371658,15139,3058670
2017-10-08,0.410538,0.417675,0.337418,0.374915,1932,3349020
2017-10-07,0.463189,0.656313,0.399349,0.410640,6217,3778530
2017-10-06,0.393161,0.465752,0.307182,0.463127,3894,3207270
2017-10-05,0.280986,0.416221,0.255886,0.393161,15529,2292190
2017-10-04,0.405614,0.418169,0.267581,0.280982,1909,3308860
2017-10-03,0.462026,0.463937,0.296995,0.405611,12702,3769050
2017-10-02,0.487710,0.509936,0.402322,0.462024,1759,3978570
2017-10-01,0.511939,0.566674,0.394735,0.487738,12291,4176220
2017-09-30,0.549345,0.566726,0.389217,0.511935,21909,4481370
2017-09-29,0.507739,0.582281,0.437601,0.549340,8139,4141950
2017-09-28,0.585818,0.590997,0.507613,0.507772,17930,4778900
2017-09-27,0.527270,0.586252,0.517209,0.585814,3375,4301290
2017-09-26,0.546342,0.550018,0.422449,0.527286,4683,4456870
2017-09-25,0.489215,0.546349,0.484435,0.546343,5314,3990850
2017-09-24,0.501992,0.501992,0.485572,0.489621,3324,4095070
2017-09-23,0.482172,0.504990,0.478461,0.502028,3366,3933390
2017-09-22,0.483636,0.498899,0.474533,0.483271,3302,3945330
2017-09-21,0.487872,0.487872,0.481119,0.484083,3305,3979890
2017-09-17,0.392477,0.392477,0.374860,0.375011,6598,3054960
2017-09-16,0.505811,0.527077,0.375454,0.392472,6928,3937140
2017-09-15,0.271114,0.517629,0.271114,0.501300,3525,2110300
2017-09-14,0.479179,0.481870,0.271027,0.271027,913,3729830
2017-09-13,0.546494,0.546494,0.456287,0.479174,1592,4253800
2017-09-12,0.561851,0.625569,0.561851,0.598933,2621,4373340
2017-09-11,0.460385,0.571190,0.460385,0.563025,2453,3583540
2017-09-10,0.385084,0.477930,0.344741,0.460433,2388,2997420
2017-09-09,0.513031,0.513769,0.307113,0.385049,3401,3993340
2017-09-08,0.533396,0.711233,0.485963,0.512352,1858,4151850
2017-09-07,0.664349,0.664349,0.523726,0.533965,2430,5171170
2017-09-06,0.555996,0.739548,0.529459,0.655393,1432,4327760
2017-09-05,0.534544,0.604636,0.430130,0.555994,3842,4160790
2017-09-04,0.539475,0.585158,0.435756,0.535388,6433,4199170
2017-09-03,0.638782,0.709363,0.528240,0.539385,3330,4972160
2017-09-02,0.749615,0.864999,0.484828,0.638595,4900,5834850
2017-09-01,0.682927,0.778268,0.651787,0.749249,12228,5315770
2017-08-31,0.787824,0.802774,0.597870,0.682980,8633,6132260
2017-08-30,0.778752,0.920218,0.541227,0.787934,15437,6061650
2017-08-29,0.606577,0.874450,0.585076,0.778829,7513,4721480
2017-08-28,0.565287,0.878897,0.552867,0.606619,7463,4400090
2017-08-27,0.634527,0.648549,0.540794,0.564985,5887,4939040
2017-08-26,0.790700,0.941541,0.590934,0.634595,9558,6154660
2017-08-25,0.817433,0.876413,0.742732,0.790442,7581,6362730
2017-08-24,0.822074,0.913388,0.703323,0.818057,13584,6398860
2017-08-23,0.813213,0.874599,0.583803,0.821853,5535,6329890
2017-08-22,0.799617,1.30,0.734832,0.813579,15316,6224060
2017-08-21,0.952527,0.962780,0.767349,0.798947,18165,7414280
2017-08-20,0.946359,0.994825,0.771680,0.954343,22257,7366270
2017-08-19,0.613936,0.949974,0.613936,0.948868,9967,4778760
2017-08-18,0.723334,0.787230,0.596667,0.614148,9009,5630290
2017-08-17,0.554525,0.733359,0.467021,0.723696,35994,4316310
2017-08-16,0.391567,0.564326,0.360667,0.554631,27813,3047880
2017-08-15,0.479612,0.629881,0.347109,0.391468,8029,3733210
2017-08-14,0.566659,0.567831,0.370055,0.479177,4507,4410760
2017-08-13,0.584242,0.626445,0.336709,0.566679,4335,4547630
2017-08-12,0.385477,0.736095,0.356652,0.584314,12406,-
2017-08-11,0.267139,0.391051,0.267139,0.385594,4697,-
2017-08-10,0.260710,0.312911,0.235600,0.267140,1216,-
2017-08-09,0.315110,0.315110,0.217550,0.260710,924,-
2017-08-08,0.248719,0.331039,0.213510,0.315149,6352,-
2017-08-07,0.248356,0.298564,0.232110,0.248704,615,-
2017-08-06,0.288411,0.362916,0.248297,0.248388,1933,-
2017-08-05,0.379542,0.402277,0.198612,0.288407,2187,-
2017-08-04,0.345112,0.391813,0.326986,0.380810,3282,-
2017-08-03,0.326103,0.333358,0.324076,0.332067,1969,-
2017-08-02,0.324837,0.335608,0.239582,0.326901,1939,-
2017-08-01,0.171480,0.324889,0.162535,0.324814,1029,-
2017-07-31,0.170487,0.171126,0.166847,0.168895,1344,-
2017-07-30,0.270052,0.276121,0.162721,0.170334,1354,-
2017-07-29,0.260953,0.340206,0.226417,0.270003,681,-
2017-07-28,0.390620,0.396105,0.259164,0.260899,1313,-
2017-07-27,0.357704,0.443071,0.258736,0.390541,974,-
2017-07-26,0.245417,0.396539,0.186276,0.357015,3304,-
2017-07-25,0.550013,0.550013,0.229396,0.245675,3251,-
2017-07-24,0.268848,0.550014,0.268848,0.550014,5245,-
2017-07-23,0.419418,0.572819,0.225246,0.268997,2104,-
2017-07-22,0.387656,0.423092,0.329463,0.419420,3004,-
2017-07-21,0.426171,0.482854,0.327576,0.387656,2708,-
2017-07-20,0.268936,0.431536,0.267418,0.426075,2667,-
2017-07-19,0.372664,0.385077,0.143238,0.269119,2527,-
2017-07-18,0.386374,0.469542,0.353732,0.372612,4311,-
2017-07-17,0.336102,0.540593,0.336102,0.385946,6399,-
2017-07-16,0.341234,0.346863,0.329293,0.336274,2583,-
2017-07-15,0.350334,0.350334,0.341737,0.341737,2595,-
