Date,Open,High,Low,Close,Volume,Market_cap
2017-07-20,0.004285,0.005539,0.004229,0.005369,20,-
2017-07-19,0.002901,0.004444,0.002837,0.004298,5,-
2017-07-18,0.006869,0.007407,0.002873,0.002897,497,-
2017-07-17,0.005769,0.013056,0.005769,0.006851,27,-
2017-07-16,0.005003,0.012230,0.004776,0.005775,48,-
2017-07-15,0.004726,0.013593,0.004437,0.005018,133,-
2017-07-14,0.004705,0.014814,0.004553,0.004734,73,-
2017-07-13,0.004796,0.004980,0.004656,0.004709,40,-
2017-07-12,0.004659,0.004953,0.004537,0.004793,45,-
2017-07-11,0.007232,0.007521,0.004666,0.004666,9,-
2017-07-10,0.008768,0.015670,0.007048,0.007247,42,-
2017-07-09,0.007878,0.010488,0.007802,0.008751,23,-
2017-07-08,0.007705,0.009077,0.007620,0.007871,13,-
2017-07-07,0.010394,0.024469,0.007572,0.007699,782,-
2017-07-06,0.014481,0.014516,0.010386,0.010386,101,-
2017-07-05,0.012951,0.037904,0.012791,0.014474,96,-
2017-07-04,0.011922,0.020557,0.011502,0.012958,36,-
2017-07-03,0.010058,0.011949,0.009980,0.011949,18,-
2017-07-02,0.012348,0.012794,0.010040,0.010095,162,-
2017-07-01,0.015569,0.015693,0.012244,0.012349,46,-
2017-06-30,0.050414,0.050611,0.014000,0.015550,186,-
2017-06-29,0.010210,0.095799,0.007949,0.050314,16828,-
2017-06-28,0.009684,0.010555,0.007636,0.010220,26,-
2017-06-27,0.009160,0.009621,0.008665,0.009621,13,-
2017-06-26,0.009317,0.012790,0.008713,0.008972,17,-
2017-06-25,0.009210,0.009557,0.008934,0.009322,10,-
2017-06-24,0.012160,0.012847,0.008979,0.009231,167,-
2017-06-23,0.014988,0.014988,0.009043,0.012162,13,-
2017-06-22,0.007694,0.014988,0.007669,0.014988,27,-
2017-06-21,0.013015,0.022407,0.005021,0.007694,155,-
2017-06-20,0.010641,0.013015,0.010641,0.013015,10,-
2017-06-19,0.010017,0.026229,0.009992,0.010641,160,-
2017-06-18,0.006295,0.010017,0.006295,0.010017,40,-
2017-06-17,0.007569,0.009967,0.006295,0.006295,72,-
2017-06-16,0.007241,0.007659,0.006975,0.007569,15,-
2017-06-15,0.007372,0.007538,0.006385,0.007247,36,-
2017-06-14,0.008151,0.008386,0.007049,0.007372,59,-
2017-06-13,0.010803,0.011479,0.008033,0.008156,135,-
2017-06-12,0.012136,0.013127,0.010271,0.010839,162,-
2017-06-11,0.006737,0.012155,0.006725,0.012152,80,-
2017-06-10,0.012281,0.012412,0.006360,0.006741,104,-
2017-06-09,0.013110,0.013364,0.012228,0.012263,20,-
2017-06-08,0.005731,0.013131,0.005578,0.013131,137,-
2017-06-07,0.014219,0.014255,0.005702,0.005702,3,-
2017-06-06,0.014821,0.015910,0.013447,0.014215,46,-
2017-06-05,0.005159,0.014777,0.005113,0.014777,83,-
2017-06-04,0.005195,0.006378,0.005075,0.005159,8,-
2017-06-03,0.005461,0.005474,0.005136,0.005209,43,-
2017-06-02,0.014398,0.014569,0.013063,0.013235,14,-
2017-06-01,0.004616,0.014425,0.004616,0.014391,34,-
2017-05-31,0.009856,0.010109,0.004473,0.004616,30,-
2017-05-30,0.010979,0.016442,0.009725,0.009817,70,-
2017-05-29,0.014437,0.016421,0.009500,0.010967,82,-
2017-05-28,0.014568,0.015374,0.009419,0.014467,30,-
2017-05-27,0.004474,0.026145,0.004428,0.014482,203,-
2017-05-26,0.006867,0.007756,0.004106,0.004459,2,-
2017-05-25,0.009253,0.009731,0.006736,0.006918,35,-
2017-05-24,0.008594,0.009448,0.008594,0.009270,27,-
2017-05-23,0.012667,0.013225,0.008210,0.008584,36,-
2017-05-22,0.010197,0.022345,0.010160,0.012685,144,-
2017-05-21,0.012316,0.012530,0.009089,0.010163,478,-
2017-05-20,0.019624,0.019920,0.011950,0.012320,45,-
2017-05-19,0.009636,0.019680,0.009636,0.019646,81,-
2017-05-18,0.008825,0.023598,0.008825,0.009630,224,-
2017-05-17,0.009233,0.012099,0.008743,0.008830,199,-
2017-05-16,0.009073,0.013112,0.008862,0.009235,103,-
2017-05-15,0.012894,0.012914,0.008830,0.009087,43,-
2017-05-14,0.008789,0.016650,0.008786,0.012887,1120,-
2017-05-13,0.017803,0.017831,0.007916,0.008761,286,-
2017-05-12,0.009501,0.024135,0.008628,0.017840,547,-
2017-05-11,0.012593,0.018192,0.009388,0.009492,93,-
2017-05-10,0.020187,0.020245,0.012497,0.012570,77,-
2017-05-09,0.019794,0.023689,0.012414,0.020177,274,-
