DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20170701,1.03,1.07,0.989566,1.01,13613000,0,0,0
20170702,0.996521,2.88,0.822648,2.71,320452000,0,0,0
20170703,2.72,5.40,2.63,4.09,414950000,0,0,0
20170704,4.10,4.19,2.93,3.37,218559000,0,0,0
20170705,3.36,3.52,2.73,3.00,124339000,0,0,0
20170706,3.01,3.87,3.01,3.36,177463000,0,0,0
20170707,3.35,3.35,2.71,2.80,96596500,0,0,0
20170708,2.82,2.90,2.09,2.59,151162000,0,0,0
20170709,2.60,2.69,2.19,2.29,87525100,0,0,0
20170710,2.25,2.39,1.72,1.83,79608800,0,0,0
20170711,1.79,1.82,1.42,1.66,111023000,0,0,0
20170712,1.64,2.09,1.54,2.07,104621000,0,0,0
20170713,2.08,2.13,1.71,1.74,51203900,0,0,0
20170714,1.73,1.77,1.54,1.55,41025200,0,0,0
20170715,1.55,1.55,1.30,1.30,34208800,0,0,0
20170716,1.29,1.35,1.19,1.25,30802800,0,0,0
20170717,1.25,1.57,1.25,1.54,62295100,0,0,0
20170718,1.54,1.75,1.48,1.70,58108000,0,0,0
20170719,1.70,1.79,1.54,1.56,55057600,0,0,0
20170720,1.57,1.76,1.57,1.74,45949800,0,0,0
20170721,1.76,2.02,1.73,1.82,58164900,0,0,0
20170722,1.82,2.00,1.81,1.96,41809000,0,0,0
20170723,1.96,2.14,1.74,1.87,60205000,0,0,0
20170724,1.88,1.95,1.82,1.87,36585400,0,0,0
20170725,1.88,1.89,1.55,1.65,42547000,0,0,0
20170726,1.64,1.74,1.47,1.74,48693200,0,0,0
20170727,1.75,1.98,1.73,1.95,69371700,0,0,0
20170728,1.96,2.01,1.85,1.85,64730400,0,0,0
20170729,1.83,1.84,1.66,1.83,44021100,0,0,0
20170730,1.83,1.84,1.71,1.78,27580200,0,0,0
20170731,1.77,1.79,1.71,1.74,29657700,0,0,0
20170801,1.75,1.81,1.68,1.78,39175500,0,0,0
20170802,1.78,1.82,1.76,1.78,28880800,0,0,0
20170803,1.78,1.81,1.75,1.80,25878000,0,0,0
