DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20170524,6.42,6.76,5.68,6.19,11221600,0,0,0
20170525,6.19,6.29,4.57,4.66,6211020,0,0,0
20170526,4.66,5.33,3.39,4.10,5116020,0,0,0
20170527,4.05,4.53,3.19,4.53,7046840,0,0,0
20170528,4.86,5.06,4.19,4.62,4353380,0,0,0
20170529,4.64,4.88,4.36,4.60,2205420,0,0,0
20170530,4.62,5.07,4.53,4.65,2836480,0,0,0
20170531,4.61,4.88,4.50,4.86,3011070,0,0,0
20170601,4.86,8.37,4.78,7.79,28193200,0,0,0
20170602,7.86,13.60,7.86,13.46,54232400,0,0,0
20170603,13.17,13.70,11.39,12.54,39565100,0,0,0
20170604,12.73,12.78,11.34,12.15,15253900,0,0,0
20170605,12.13,12.58,10.88,11.17,10290000,0,0,0
20170606,10.98,12.02,10.17,11.50,11135000,0,0,0
20170607,11.57,11.86,10.93,10.97,6104140,0,0,0
20170608,10.92,12.54,10.26,12.35,12978300,0,0,0
20170609,12.35,13.12,11.30,11.74,14694100,0,0,0
20170610,11.75,12.10,11.12,11.33,14370200,0,0,0
20170611,11.36,12.23,11.10,11.76,11384700,0,0,0
20170612,11.77,11.82,10.87,10.96,8663550,0,0,0
20170613,11.06,12.52,10.97,12.42,16198200,0,0,0
20170614,12.40,13.01,11.29,11.77,18671800,0,0,0
20170615,11.80,11.80,9.80,11.11,13740900,0,0,0
20170616,11.11,11.73,10.69,11.29,7179610,0,0,0
20170617,11.24,11.45,11.02,11.25,6961310,0,0,0
20170618,11.25,11.29,10.40,10.58,5475110,0,0,0
20170619,10.49,11.30,10.26,10.59,12893100,0,0,0
20170620,10.57,12.88,10.44,11.49,22123200,0,0,0
20170621,11.40,12.55,11.38,11.83,10464200,0,0,0
20170622,11.92,12.45,11.74,12.10,16740600,0,0,0
20170623,12.13,18.58,11.97,16.99,66737400,0,0,0
20170624,16.80,18.85,16.02,16.35,34660100,0,0,0
20170625,16.34,16.70,14.36,14.92,22702400,0,0,0
20170626,14.96,14.96,10.64,12.61,25803900,0,0,0
20170627,12.27,15.19,11.94,14.47,42563100,0,0,0
20170628,14.68,15.68,12.97,13.83,40650500,0,0,0
20170629,14.09,14.09,12.33,12.48,18516000,0,0,0
20170630,12.46,12.57,11.66,12.03,14022600,0,0,0
20170701,11.96,12.12,10.37,10.39,10832000,0,0,0
20170702,10.41,10.41,8.18,9.45,23967300,0,0,0
20170703,9.33,10.08,8.56,9.19,15403500,0,0,0
20170704,9.24,9.94,8.92,9.27,8178690,0,0,0
20170705,9.33,9.33,7.96,8.30,8151290,0,0,0
20170706,8.44,9.35,7.95,8.75,13670300,0,0,0
20170707,8.73,8.75,6.67,6.87,7176910,0,0,0
20170708,6.90,7.11,5.64,6.86,12481200,0,0,0
20170709,6.91,7.58,6.35,6.36,6985260,0,0,0
20170710,6.42,6.75,5.03,5.38,5648270,0,0,0
20170711,5.23,5.42,3.89,4.82,11515200,0,0,0
20170712,4.67,5.69,4.36,5.59,11808500,0,0,0
20170713,5.65,6.12,5.02,5.11,8076010,0,0,0
20170714,5.11,5.18,4.47,4.53,6385700,0,0,0
20170715,4.54,4.55,3.86,3.88,6403170,0,0,0
20170716,3.93,4.24,3.71,3.93,5467430,0,0,0
20170717,3.91,4.47,3.91,4.38,7531300,0,0,0
20170718,4.41,5.35,4.27,5.18,16788400,0,0,0
20170719,5.18,6.62,4.79,5.62,29526300,0,0,0
20170720,5.69,7.68,5.69,7.59,33148900,0,0,0
20170721,7.84,9.15,7.01,7.84,48210600,0,0,0
20170722,7.81,7.99,7.48,7.52,16650500,0,0,0
20170723,7.55,7.62,6.14,6.64,23752700,0,0,0
20170724,6.67,7.30,6.46,7.26,12601300,0,0,0
20170725,7.31,7.61,5.68,6.13,22782500,0,0,0
20170726,6.14,6.49,5.28,6.26,20824500,0,0,0
20170727,6.29,6.42,6.02,6.21,10757800,0,0,0
20170728,6.23,6.31,5.74,5.75,7599310,0,0,0
20170729,5.80,5.86,5.38,5.78,5188990,0,0,0
20170730,5.77,5.84,5.46,5.53,3168030,0,0,0
20170731,5.53,6.36,5.43,6.12,13123400,0,0,0
20170801,6.12,6.67,5.74,6.49,20864300,0,0,0
20170802,6.56,6.69,6.32,6.43,11978000,0,0,0
20170803,6.42,7.86,6.17,7.65,30278900,0,0,0
20170804,7.68,8.71,7.68,8.22,31879600,0,0,0
20170805,8.22,9.52,7.80,9.38,42482900,0,0,0
20170806,9.34,10.83,9.08,10.07,54977800,0,0,0
20170807,10.03,12.84,9.88,12.65,95630200,0,0,0
20170808,12.64,12.74,10.84,11.50,63155600,0,0,0
20170809,11.49,12.63,11.07,12.55,52016000,0,0,0
20170810,12.55,16.99,12.42,15.77,133259000,0,0,0
20170811,15.63,16.36,14.33,14.73,91215900,0,0,0
20170812,14.73,15.47,12.85,13.90,59321200,0,0,0
20170813,13.92,15.84,12.79,15.17,75650500,0,0,0
20170814,15.10,17.16,14.36,15.06,103750000,0,0,0
20170815,15.01,15.30,13.83,14.68,62353100,0,0,0
20170816,14.67,15.42,14.15,14.35,59126000,0,0,0
20170817,14.36,14.37,12.82,13.06,50489100,0,0,0
20170818,13.09,13.09,11.00,11.63,43226400,0,0,0
20170819,11.62,12.36,9.69,11.64,54327300,0,0,0
20170820,11.54,12.35,10.82,11.79,40638800,0,0,0
20170821,11.80,11.87,10.82,11.23,29380800,0,0,0
20170822,11.20,11.41,10.17,11.06,25086300,0,0,0
20170823,11.05,12.47,11.04,11.90,36722000,0,0,0
20170824,11.87,14.13,11.64,13.78,72955500,0,0,0
20170825,13.75,13.85,12.85,13.32,26327100,0,0,0
20170826,13.26,15.89,12.97,15.41,88172500,0,0,0
20170827,15.42,15.86,14.74,15.70,56474400,0,0,0
20170828,15.66,16.35,14.86,16.24,82850200,0,0,0
20170829,16.28,20.04,16.28,19.15,216784000,0,0,0
20170830,19.05,19.05,14.58,16.84,145512000,0,0,0
20170831,16.72,18.08,16.69,17.30,76872500,0,0,0
20170901,17.30,18.47,16.94,18.26,73618500,0,0,0
20170902,18.26,19.06,15.51,16.39,123479000,0,0,0
20170903,16.41,16.74,14.19,15.29,98105400,0,0,0
20170904,15.29,15.44,10.22,10.98,161203000,0,0,0
20170905,11.07,12.07,8.77,11.71,218917000,0,0,0
20170906,11.73,12.49,10.34,11.40,141347000,0,0,0
20170907,11.40,14.77,10.69,14.74,195986000,0,0,0
20170908,14.74,16.07,12.44,13.50,294169000,0,0,0
20170909,13.40,13.63,12.46,13.32,99008100,0,0,0
20170910,13.27,13.34,11.38,12.78,172687000,0,0,0
20170911,12.64,14.79,12.55,14.28,165283000,0,0,0
20170912,14.38,15.31,12.86,13.51,156187000,0,0,0
20170913,13.45,13.53,11.60,11.94,185348000,0,0,0
20170914,11.94,12.18,7.60,7.60,137040000,0,0,0
20170915,7.72,9.31,5.91,8.47,242984000,0,0,0
20170916,8.49,8.97,7.44,8.25,97992200,0,0,0
20170917,8.19,8.79,7.59,8.27,69847200,0,0,0
20170918,8.31,10.51,8.31,9.62,167586000,0,0,0
20170919,9.65,9.70,8.75,8.91,66250600,0,0,0
20170920,8.92,9.05,8.47,8.79,38916900,0,0,0
20170921,8.77,8.81,7.34,7.38,38239000,0,0,0
20170922,7.34,7.91,7.27,7.68,42861600,0,0,0
20170923,7.70,8.21,7.48,8.11,40760800,0,0,0
20170924,8.10,8.28,7.79,8.04,28266800,0,0,0
20170925,8.03,9.60,8.03,9.36,82385100,0,0,0
20170926,9.38,10.30,9.17,9.34,104988000,0,0,0
20170927,9.37,9.90,9.35,9.90,59847700,0,0,0
20170928,9.95,10.10,9.06,9.93,95333300,0,0,0
20170929,9.96,10.00,9.15,9.77,79526300,0,0,0
20170930,9.77,11.65,9.75,11.59,141320000,0,0,0
20171001,11.59,12.61,11.58,12.34,162762000,0,0,0
20171002,12.36,12.38,11.43,11.88,69789000,0,0,0
20171003,11.91,12.12,10.78,12.12,95756400,0,0,0
20171004,12.16,12.28,11.51,11.63,77387000,0,0,0
20171005,11.60,11.98,10.82,11.86,67610800,0,0,0
20171006,11.87,11.91,11.50,11.69,23341500,0,0,0
20171007,11.67,11.94,11.51,11.94,19498800,0,0,0
20171008,11.96,12.11,11.14,11.14,34305900,0,0,0
20171009,11.14,12.49,10.96,12.07,57974000,0,0,0
20171010,12.04,12.54,11.55,12.08,50232800,0,0,0
20171011,12.04,12.29,11.87,12.13,28771600,0,0,0
20171012,12.13,12.21,11.29,11.29,31335300,0,0,0
20171013,11.30,11.30,10.31,11.25,44760500,0,0,0
20171014,11.26,11.45,10.62,10.63,17709400,0,0,0
20171015,10.64,10.66,10.09,10.44,22057700,0,0,0
20171016,10.46,11.65,10.23,11.49,37568400,0,0,0
20171017,11.48,12.27,11.03,12.05,57046400,0,0,0
20171018,12.04,12.04,10.78,11.49,53960300,0,0,0
20171019,11.46,12.22,11.35,12.07,49308300,0,0,0
20171020,12.10,15.12,11.19,11.30,304281000,0,0,0
20171021,11.25,11.35,10.50,10.91,56075000,0,0,0
20171022,10.97,11.06,10.56,10.63,33890300,0,0,0
20171023,10.59,10.60,9.75,9.96,50654800,0,0,0
20171024,9.96,11.46,9.52,10.76,118813000,0,0,0
20171025,10.78,10.92,10.37,10.65,48104100,0,0,0
20171026,10.66,10.79,10.45,10.57,26461700,0,0,0
20171027,10.56,10.63,10.26,10.30,27344700,0,0,0
20171028,10.33,10.38,10.18,10.21,23588200,0,0,0
20171029,10.19,10.54,10.18,10.42,40119600,0,0,0
20171030,10.39,10.48,10.29,10.39,21781900,0,0,0
20171031,10.38,10.88,10.35,10.45,43306600,0,0,0
20171101,10.41,10.41,9.92,9.93,26591700,0,0,0
20171102,9.95,10.04,9.35,9.80,54501600,0,0,0
20171103,9.77,10.42,9.70,10.38,55018600,0,0,0
20171104,10.31,10.40,9.82,10.05,35477100,0,0,0
20171105,10.04,10.43,9.96,10.13,49288500,0,0,0
20171106,10.13,11.18,10.06,10.44,116937000,0,0,0
20171107,10.32,11.45,10.32,11.21,122951000,0,0,0
20171108,11.18,12.12,10.99,11.91,196034000,0,0,0
20171109,11.88,12.45,11.73,11.94,116434000,0,0,0
20171110,11.97,12.31,11.07,11.29,131906000,0,0,0
20171111,11.30,12.17,11.30,11.65,113139000,0,0,0
20171112,11.59,11.66,10.89,11.11,116105000,0,0,0
20171113,11.10,11.51,11.09,11.42,73428300,0,0,0
20171114,11.41,11.69,11.23,11.60,73833600,0,0,0
20171115,11.54,11.74,11.50,11.72,43757700,0,0,0
20171116,11.68,13.90,11.63,12.89,317008000,0,0,0
20171117,12.83,13.37,12.55,13.37,109115000,0,0,0
20171118,13.52,14.16,13.12,14.02,116168000,0,0,0
20171119,14.01,14.11,13.66,14.03,61181300,0,0,0
20171120,14.00,15.30,14.00,14.77,160773000,0,0,0
